ontology,iteration,command_output,number_of_hypothesis_returned,algorithm_total_time,ontology_parsing_time,observation_time,gateway_opening_time,gateway_closing_time
AnimalsOntologyForStudy.owl,1,"Use just_based
Loading ontology..
done loading ontology.
Building observation and TBox based on justification.
Observation: SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#CircularMuscles> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain>)
Ontology size: 1
Converting...
Ignored axioms (since not in EL): 0
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont1024739241464503>) VersionIRI(<null>))) [Axioms: 3 Logical Axioms: 3] First 20 axioms: {SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#BodyPart> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#BodyPart> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain>) }
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont1024739241464503>) VersionIRI(<null>))) [Axioms: 3 Logical Axioms: 3] First 20 axioms: {SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#BodyPart> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#BodyPart> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain>) }
Done.
",2,0.28604865074157715,0.8470382690429688,2.703585624694824,0.03750014305114746,0.003000497817993164
AnimalsOntologyForStudy.owl,2,"Use just_based
Loading ontology..
done loading ontology.
Building observation and TBox based on justification.
Observation: SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#ColdClimate> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain>)
Ontology size: 1
Converting...
Ignored axioms (since not in EL): 0
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont1024742689247203>) VersionIRI(<null>))) [Axioms: 3 Logical Axioms: 3] First 20 axioms: {SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Habitat> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Habitat> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain>) }
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont1024742689247203>) VersionIRI(<null>))) [Axioms: 3 Logical Axioms: 3] First 20 axioms: {SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Habitat> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Habitat> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain>) }
Done.
",2,0.04270672798156738,0.029720067977905273,2.258212089538574,0.008994579315185547,0.0020012855529785156
AnimalsOntologyForStudy.owl,3,"Use just_based
Loading ontology..
done loading ontology.
Building observation and TBox based on justification.
Observation: SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#Lion> <http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#MovingAnimal>)
Ontology size: 5
Converting...
Ignored axioms (since not in EL): 0
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont1024745057586303>) VersionIRI(<null>))) [Axioms: 12 Logical Axioms: 12] First 20 axioms: {SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#CounterexampleTaskAnimals> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#Lion> ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasBodyPart> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Legs>)) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#CanGo> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#CanMove>) SubClassOf(ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasBodyPart> <A_TOP>) <A_TOP>) SubClassOf(ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasBodyPart> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Legs>) ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasProperty> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#CanGo>)) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#Lion> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#CounterexampleTaskAnimals> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#Lion> <http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#CounterexampleTaskAnimals>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#CanMove> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#CanGo> <A_TOP>) SubClassOf(ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasProperty> <A_TOP>) <A_TOP>) }
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont1024745057586303>) VersionIRI(<null>))) [Axioms: 12 Logical Axioms: 12] First 20 axioms: {SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#CounterexampleTaskAnimals> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#Lion> ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasBodyPart> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Legs>)) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#CanGo> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#CanMove>) SubClassOf(ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasBodyPart> <A_TOP>) <A_TOP>) SubClassOf(ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasBodyPart> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Legs>) ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasProperty> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#CanGo>)) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#Lion> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#CounterexampleTaskAnimals> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#Lion> <http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#CounterexampleTaskAnimals>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#CanMove> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#CanGo> <A_TOP>) SubClassOf(ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasProperty> <A_TOP>) <A_TOP>) }
Done.
",1,0.1168513298034668,0.04761171340942383,2.389676570892334,0.0069997310638427734,0.0019974708557128906
AnimalsOntologyForStudy.owl,4,"Use just_based
Loading ontology..
done loading ontology.
Building observation and TBox based on justification.
Observation: SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#SwimmingAnimal> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal>)
Ontology size: 1
Converting...
Ignored axioms (since not in EL): 0
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont1024747706287903>) VersionIRI(<null>))) [Axioms: 8 Logical Axioms: 8] First 20 axioms: {SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#MovingAnimal> ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasProperty> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#CanMove>)) SubClassOf(ObjectIntersectionOf(<_A1> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal>) <http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#MovingAnimal>) SubClassOf(<_A1> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal> <A_TOP>) SubClassOf(ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasProperty> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#CanMove>) <_A1>) SubClassOf(ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasProperty> <A_TOP>) <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#MovingAnimal> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#MovingAnimal> <A_TOP>) }
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont1024747706287903>) VersionIRI(<null>))) [Axioms: 8 Logical Axioms: 8] First 20 axioms: {SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#MovingAnimal> ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasProperty> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#CanMove>)) SubClassOf(ObjectIntersectionOf(<_A1> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal>) <http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#MovingAnimal>) SubClassOf(<_A1> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal> <A_TOP>) SubClassOf(ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasProperty> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#CanMove>) <_A1>) SubClassOf(ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasProperty> <A_TOP>) <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#MovingAnimal> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#MovingAnimal> <A_TOP>) }
Done.
",2,0.06612372398376465,0.05164146423339844,2.4247779846191406,0.008017539978027344,0.002912759780883789
AnimalsOntologyForStudy.owl,5,"Use just_based
Loading ontology..
done loading ontology.
Building observation and TBox based on justification.
Observation: SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#GoingAnimal> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal>)
Ontology size: 1
Converting...
Ignored axioms (since not in EL): 0
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont1024750170195103>) VersionIRI(<null>))) [Axioms: 8 Logical Axioms: 8] First 20 axioms: {SubClassOf(ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasProperty> <A_TOP>) <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#MovingAnimal> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#MovingAnimal> ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasProperty> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#CanMove>)) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#MovingAnimal> <A_TOP>) SubClassOf(<_A1> <A_TOP>) SubClassOf(ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasProperty> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#CanMove>) <_A1>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal> <A_TOP>) SubClassOf(ObjectIntersectionOf(<_A1> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal>) <http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#MovingAnimal>) }
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont1024750170195103>) VersionIRI(<null>))) [Axioms: 8 Logical Axioms: 8] First 20 axioms: {SubClassOf(ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasProperty> <A_TOP>) <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#MovingAnimal> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#MovingAnimal> ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasProperty> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#CanMove>)) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#MovingAnimal> <A_TOP>) SubClassOf(<_A1> <A_TOP>) SubClassOf(ObjectSomeValuesFrom(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#hasProperty> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#CanMove>) <_A1>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal> <A_TOP>) SubClassOf(ObjectIntersectionOf(<_A1> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal>) <http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#MovingAnimal>) }
Done.
",2,0.04257607460021973,0.024033784866333008,2.3596713542938232,0.007512092590332031,0.003000974655151367
atc.anatomical-therapeutic-chemical-classification.1.owl.xml,1,"Use just_based
Loading ontology..
done loading ontology.
Building observation and TBox based on justification.
Observation: SubClassOf(<http://bio2rdf.org/atc:V04CG04> <http://bio2rdf.org/atc:V04>)
Ontology size: 2
Converting...
Ignored axioms (since not in EL): 0
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont1024753859063103>) VersionIRI(<null>))) [Axioms: 5 Logical Axioms: 5] First 20 axioms: {SubClassOf(<http://bio2rdf.org/atc:V04CG04> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:V04CG04> <http://bio2rdf.org/atc:V04CG>) SubClassOf(<http://bio2rdf.org/atc:V04CG> <http://bio2rdf.org/atc:V04C>) SubClassOf(<http://bio2rdf.org/atc:V04CG> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:V04C> <A_TOP>) }
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont1024753859063103>) VersionIRI(<null>))) [Axioms: 5 Logical Axioms: 5] First 20 axioms: {SubClassOf(<http://bio2rdf.org/atc:V04CG04> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:V04CG04> <http://bio2rdf.org/atc:V04CG>) SubClassOf(<http://bio2rdf.org/atc:V04CG> <http://bio2rdf.org/atc:V04C>) SubClassOf(<http://bio2rdf.org/atc:V04CG> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:V04C> <A_TOP>) }
Done.
",1,0.028000593185424805,0.0220029354095459,4.506963729858398,0.009002447128295898,0.003000497817993164
atc.anatomical-therapeutic-chemical-classification.1.owl.xml,2,"Use just_based
Loading ontology..
done loading ontology.
Building observation and TBox based on justification.
Observation: SubClassOf(<http://bio2rdf.org/atc:J05AX02> <http://bio2rdf.org/atc:J>)
Ontology size: 3
Converting...
Ignored axioms (since not in EL): 0
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont1024758176740703>) VersionIRI(<null>))) [Axioms: 7 Logical Axioms: 7] First 20 axioms: {SubClassOf(<http://bio2rdf.org/atc:J05AX02> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:J05A> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:J05A> <http://bio2rdf.org/atc:J05>) SubClassOf(<http://bio2rdf.org/atc:J05> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:J05AX02> <http://bio2rdf.org/atc:J05AX>) SubClassOf(<http://bio2rdf.org/atc:J05AX> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:J05AX> <http://bio2rdf.org/atc:J05A>) }
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont1024758176740703>) VersionIRI(<null>))) [Axioms: 7 Logical Axioms: 7] First 20 axioms: {SubClassOf(<http://bio2rdf.org/atc:J05AX02> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:J05A> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:J05A> <http://bio2rdf.org/atc:J05>) SubClassOf(<http://bio2rdf.org/atc:J05> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:J05AX02> <http://bio2rdf.org/atc:J05AX>) SubClassOf(<http://bio2rdf.org/atc:J05AX> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:J05AX> <http://bio2rdf.org/atc:J05A>) }
Done.
",1,0.048863887786865234,0.034088850021362305,4.220665693283081,0.00815725326538086,0.003021240234375
atc.anatomical-therapeutic-chemical-classification.1.owl.xml,3,"Use just_based
Loading ontology..
done loading ontology.
Building observation and TBox based on justification.
Observation: SubClassOf(<http://bio2rdf.org/atc:J01XD01> <http://bio2rdf.org/atc:J01>)
Ontology size: 2
Converting...
Ignored axioms (since not in EL): 0
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont1024762461945603>) VersionIRI(<null>))) [Axioms: 5 Logical Axioms: 5] First 20 axioms: {SubClassOf(<http://bio2rdf.org/atc:J01X> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:J01XD> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:J01XD> <http://bio2rdf.org/atc:J01X>) SubClassOf(<http://bio2rdf.org/atc:J01XD01> <http://bio2rdf.org/atc:J01XD>) SubClassOf(<http://bio2rdf.org/atc:J01XD01> <A_TOP>) }
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont1024762461945603>) VersionIRI(<null>))) [Axioms: 5 Logical Axioms: 5] First 20 axioms: {SubClassOf(<http://bio2rdf.org/atc:J01X> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:J01XD> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:J01XD> <http://bio2rdf.org/atc:J01X>) SubClassOf(<http://bio2rdf.org/atc:J01XD01> <http://bio2rdf.org/atc:J01XD>) SubClassOf(<http://bio2rdf.org/atc:J01XD01> <A_TOP>) }
Done.
",1,0.038973093032836914,0.028620481491088867,4.268367767333984,0.009999752044677734,0.0020873546600341797
atc.anatomical-therapeutic-chemical-classification.1.owl.xml,4,"Use just_based
Loading ontology..
done loading ontology.
Building observation and TBox based on justification.
Observation: SubClassOf(<http://bio2rdf.org/kegg:D00377> <http://bio2rdf.org/atc:A07EC>)
Ontology size: 1
Converting...
Ignored axioms (since not in EL): 0
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont1024766881662103>) VersionIRI(<null>))) [Axioms: 3 Logical Axioms: 3] First 20 axioms: {SubClassOf(<http://bio2rdf.org/atc:A07EC> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:A07EC02> <http://bio2rdf.org/atc:A07EC>) SubClassOf(<http://bio2rdf.org/atc:A07EC02> <A_TOP>) }
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont1024766881662103>) VersionIRI(<null>))) [Axioms: 3 Logical Axioms: 3] First 20 axioms: {SubClassOf(<http://bio2rdf.org/atc:A07EC> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:A07EC02> <http://bio2rdf.org/atc:A07EC>) SubClassOf(<http://bio2rdf.org/atc:A07EC02> <A_TOP>) }
Done.
",2,0.03853774070739746,0.026059627532958984,4.286671876907349,0.008114099502563477,0.0030219554901123047
atc.anatomical-therapeutic-chemical-classification.1.owl.xml,5,"Use just_based
Loading ontology..
done loading ontology.
Building observation and TBox based on justification.
Observation: SubClassOf(<http://bio2rdf.org/atc:B03BA> <http://bio2rdf.org/atc:B>)
Ontology size: 2
Converting...
Ignored axioms (since not in EL): 0
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont1024771349289203>) VersionIRI(<null>))) [Axioms: 5 Logical Axioms: 5] First 20 axioms: {SubClassOf(<http://bio2rdf.org/atc:B03B> <http://bio2rdf.org/atc:B03>) SubClassOf(<http://bio2rdf.org/atc:B03B> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:B03BA> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:B03BA> <http://bio2rdf.org/atc:B03B>) SubClassOf(<http://bio2rdf.org/atc:B03> <A_TOP>) }
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont1024771349289203>) VersionIRI(<null>))) [Axioms: 5 Logical Axioms: 5] First 20 axioms: {SubClassOf(<http://bio2rdf.org/atc:B03B> <http://bio2rdf.org/atc:B03>) SubClassOf(<http://bio2rdf.org/atc:B03B> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:B03BA> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:B03BA> <http://bio2rdf.org/atc:B03B>) SubClassOf(<http://bio2rdf.org/atc:B03> <A_TOP>) }
Done.
",1,0.03399825096130371,0.03360867500305176,4.65445613861084,0.008000850677490234,0.0030035972595214844
