ontology,iteration,command_output,number_of_hypothesis_returned,algorithm_total_time,ontology_parsing_time,observation_time
AnimalsOntologyForStudy.owl,1,"Use just_based
Loading ontology..
done loading ontology.
Building observation and TBox based on justification.
Observation: SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#CircularMuscles> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain>)
Ontology size: 1
Converting...
Ignored axioms (since not in EL): 0
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont754398679718003>) VersionIRI(<null>))) [Axioms: 3 Logical Axioms: 3] First 20 axioms: {SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#BodyPart> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#BodyPart> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain>) }
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont754398679718003>) VersionIRI(<null>))) [Axioms: 3 Logical Axioms: 3] First 20 axioms: {SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#BodyPart> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#BodyPart> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain>) }
Done.
",2,0.26434755325317383,0.8403470516204834,5.239062786102295
AnimalsOntologyForStudy.owl,2,"Use just_based
Loading ontology..
done loading ontology.
Building observation and TBox based on justification.
Observation: SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/animals-ontology#FlightlessBird> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain>)
Ontology size: 1
Converting...
Ignored axioms (since not in EL): 0
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont754402817428703>) VersionIRI(<null>))) [Axioms: 3 Logical Axioms: 3] First 20 axioms: {SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain>) }
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont754402817428703>) VersionIRI(<null>))) [Axioms: 3 Logical Axioms: 3] First 20 axioms: {SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Animal> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain>) }
Done.
",2,0.03822612762451172,0.025191783905029297,2.4333341121673584
AnimalsOntologyForStudy.owl,3,"Use just_based
Loading ontology..
done loading ontology.
Building observation and TBox based on justification.
Observation: SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Legs> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain>)
Ontology size: 1
Converting...
Ignored axioms (since not in EL): 0
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont754405232564803>) VersionIRI(<null>))) [Axioms: 3 Logical Axioms: 3] First 20 axioms: {SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#BodyPart> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#BodyPart> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain>) }
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont754405232564803>) VersionIRI(<null>))) [Axioms: 3 Logical Axioms: 3] First 20 axioms: {SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#BodyPart> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#BodyPart> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain>) }
Done.
",2,0.03240513801574707,0.022672653198242188,2.3151869773864746
AnimalsOntologyForStudy.owl,4,"Use just_based
Loading ontology..
done loading ontology.
Building observation and TBox based on justification.
Observation: SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Gills> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain>)
Ontology size: 1
Converting...
Ignored axioms (since not in EL): 0
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont754407694251703>) VersionIRI(<null>))) [Axioms: 3 Logical Axioms: 3] First 20 axioms: {SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#BodyPart> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#BodyPart> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain>) }
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont754407694251703>) VersionIRI(<null>))) [Axioms: 3 Logical Axioms: 3] First 20 axioms: {SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#BodyPart> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#BodyPart> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain>) }
Done.
",2,0.02962636947631836,0.029654502868652344,2.4380486011505127
AnimalsOntologyForStudy.owl,5,"Use just_based
Loading ontology..
done loading ontology.
Building observation and TBox based on justification.
Observation: SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Beak> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain>)
Ontology size: 1
Converting...
Ignored axioms (since not in EL): 0
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont754410102895703>) VersionIRI(<null>))) [Axioms: 3 Logical Axioms: 3] First 20 axioms: {SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#BodyPart> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#BodyPart> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain>) }
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont754410102895703>) VersionIRI(<null>))) [Axioms: 3 Logical Axioms: 3] First 20 axioms: {SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#BodyPart> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain> <A_TOP>) SubClassOf(<http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#BodyPart> <http://www.semanticweb.org/mikha/ontologies/2023/8/untitled-ontology-841#Domain>) }
Done.
",2,0.03440260887145996,0.022077083587646484,2.315854549407959
atc.anatomical-therapeutic-chemical-classification.1.owl.xml,1,"Use just_based
Loading ontology..
done loading ontology.
Building observation and TBox based on justification.
Observation: SubClassOf(<http://bio2rdf.org/atc:R03AK02> <http://bio2rdf.org/atc:R03A>)
Ontology size: 1
Converting...
Ignored axioms (since not in EL): 0
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont754413635637903>) VersionIRI(<null>))) [Axioms: 3 Logical Axioms: 3] First 20 axioms: {SubClassOf(<http://bio2rdf.org/atc:R03A> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:R03AK> <http://bio2rdf.org/atc:R03A>) SubClassOf(<http://bio2rdf.org/atc:R03AK> <A_TOP>) }
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont754413635637903>) VersionIRI(<null>))) [Axioms: 3 Logical Axioms: 3] First 20 axioms: {SubClassOf(<http://bio2rdf.org/atc:R03A> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:R03AK> <http://bio2rdf.org/atc:R03A>) SubClassOf(<http://bio2rdf.org/atc:R03AK> <A_TOP>) }
Done.
",2,0.033202409744262695,0.027582645416259766,4.499519348144531
atc.anatomical-therapeutic-chemical-classification.1.owl.xml,2,"Use just_based
Loading ontology..
done loading ontology.
Building observation and TBox based on justification.
Observation: SubClassOf(<http://bio2rdf.org/kegg:D02709> <http://bio2rdf.org/atc:M>)
Ontology size: 4
Converting...
Ignored axioms (since not in EL): 0
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont754418681062803>) VersionIRI(<null>))) [Axioms: 9 Logical Axioms: 9] First 20 axioms: {SubClassOf(<http://bio2rdf.org/atc:M01AH03> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:M01> <A_TOP>) SubClassOf(<http://bio2rdf.org/kegg:D02709> <http://bio2rdf.org/atc:M01AH03>) SubClassOf(<http://bio2rdf.org/atc:M01A> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:M01AH> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:M01AH03> <http://bio2rdf.org/atc:M01AH>) SubClassOf(<http://bio2rdf.org/atc:M01A> <http://bio2rdf.org/atc:M01>) SubClassOf(<http://bio2rdf.org/kegg:D02709> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:M01AH> <http://bio2rdf.org/atc:M01A>) }
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont754418681062803>) VersionIRI(<null>))) [Axioms: 9 Logical Axioms: 9] First 20 axioms: {SubClassOf(<http://bio2rdf.org/atc:M01AH03> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:M01> <A_TOP>) SubClassOf(<http://bio2rdf.org/kegg:D02709> <http://bio2rdf.org/atc:M01AH03>) SubClassOf(<http://bio2rdf.org/atc:M01A> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:M01AH> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:M01AH03> <http://bio2rdf.org/atc:M01AH>) SubClassOf(<http://bio2rdf.org/atc:M01A> <http://bio2rdf.org/atc:M01>) SubClassOf(<http://bio2rdf.org/kegg:D02709> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:M01AH> <http://bio2rdf.org/atc:M01A>) }
Done.
",1,0.05574440956115723,0.03744101524353027,5.369056701660156
atc.anatomical-therapeutic-chemical-classification.1.owl.xml,3,"Use just_based
Loading ontology..
done loading ontology.
Building observation and TBox based on justification.
Observation: SubClassOf(<http://bio2rdf.org/atc:M02AX05> <http://bio2rdf.org/atc:M>)
Ontology size: 3
Converting...
Ignored axioms (since not in EL): 0
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont754424053254603>) VersionIRI(<null>))) [Axioms: 7 Logical Axioms: 7] First 20 axioms: {SubClassOf(<http://bio2rdf.org/atc:M02A> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:M02AX> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:M02AX05> <http://bio2rdf.org/atc:M02AX>) SubClassOf(<http://bio2rdf.org/atc:M02> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:M02A> <http://bio2rdf.org/atc:M02>) SubClassOf(<http://bio2rdf.org/atc:M02AX> <http://bio2rdf.org/atc:M02A>) SubClassOf(<http://bio2rdf.org/atc:M02AX05> <A_TOP>) }
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont754424053254603>) VersionIRI(<null>))) [Axioms: 7 Logical Axioms: 7] First 20 axioms: {SubClassOf(<http://bio2rdf.org/atc:M02A> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:M02AX> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:M02AX05> <http://bio2rdf.org/atc:M02AX>) SubClassOf(<http://bio2rdf.org/atc:M02> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:M02A> <http://bio2rdf.org/atc:M02>) SubClassOf(<http://bio2rdf.org/atc:M02AX> <http://bio2rdf.org/atc:M02A>) SubClassOf(<http://bio2rdf.org/atc:M02AX05> <A_TOP>) }
Done.
",1,0.035799503326416016,0.0237123966217041,5.144338369369507
atc.anatomical-therapeutic-chemical-classification.1.owl.xml,4,"Use just_based
Loading ontology..
done loading ontology.
Building observation and TBox based on justification.
Observation: SubClassOf(<http://bio2rdf.org/kegg:D08677> <http://bio2rdf.org/atc:C>)
Ontology size: 4
Converting...
Ignored axioms (since not in EL): 0
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont754429220000103>) VersionIRI(<null>))) [Axioms: 9 Logical Axioms: 9] First 20 axioms: {SubClassOf(<http://bio2rdf.org/kegg:D08677> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:C04A> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:C04AX07> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:C04> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:C04A> <http://bio2rdf.org/atc:C04>) SubClassOf(<http://bio2rdf.org/atc:C04AX> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:C04AX> <http://bio2rdf.org/atc:C04A>) SubClassOf(<http://bio2rdf.org/kegg:D08677> <http://bio2rdf.org/atc:C04AX07>) SubClassOf(<http://bio2rdf.org/atc:C04AX07> <http://bio2rdf.org/atc:C04AX>) }
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont754429220000103>) VersionIRI(<null>))) [Axioms: 9 Logical Axioms: 9] First 20 axioms: {SubClassOf(<http://bio2rdf.org/kegg:D08677> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:C04A> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:C04AX07> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:C04> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:C04A> <http://bio2rdf.org/atc:C04>) SubClassOf(<http://bio2rdf.org/atc:C04AX> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:C04AX> <http://bio2rdf.org/atc:C04A>) SubClassOf(<http://bio2rdf.org/kegg:D08677> <http://bio2rdf.org/atc:C04AX07>) SubClassOf(<http://bio2rdf.org/atc:C04AX07> <http://bio2rdf.org/atc:C04AX>) }
Done.
",1,0.03926897048950195,0.026259660720825195,5.124270915985107
atc.anatomical-therapeutic-chemical-classification.1.owl.xml,5,"Use just_based
Loading ontology..
done loading ontology.
Building observation and TBox based on justification.
Observation: SubClassOf(<http://bio2rdf.org/kegg:D02387> <http://bio2rdf.org/atc:P01B>)
Ontology size: 2
Converting...
Ignored axioms (since not in EL): 0
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont754434415995603>) VersionIRI(<null>))) [Axioms: 5 Logical Axioms: 5] First 20 axioms: {SubClassOf(<http://bio2rdf.org/kegg:D02387> <A_TOP>) SubClassOf(<http://bio2rdf.org/kegg:D02387> <http://bio2rdf.org/atc:P01BB02>) SubClassOf(<http://bio2rdf.org/atc:P01BB02> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:P01BB> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:P01BB02> <http://bio2rdf.org/atc:P01BB>) }
Ontology(OntologyID(OntologyIRI(<urn:unnamed:ontology#ont754434415995603>) VersionIRI(<null>))) [Axioms: 5 Logical Axioms: 5] First 20 axioms: {SubClassOf(<http://bio2rdf.org/kegg:D02387> <A_TOP>) SubClassOf(<http://bio2rdf.org/kegg:D02387> <http://bio2rdf.org/atc:P01BB02>) SubClassOf(<http://bio2rdf.org/atc:P01BB02> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:P01BB> <A_TOP>) SubClassOf(<http://bio2rdf.org/atc:P01BB02> <http://bio2rdf.org/atc:P01BB>) }
Done.
",1,0.044440507888793945,0.02187800407409668,5.044230937957764
